What is the capital of France?,Paris
"Who wrote ""Hamlet""?",Shakespeare
What is the largest ocean on Earth?,Pacific
"Who painted the ""Mona Lisa""?",Leonardo
What is the smallest planet in our solar system?,Mercury
Which element has the chemical symbol 'O'?,Oxygen
What is the currency of Japan?,Yen
Who discovered penicillin?,Fleming
What is the hardest natural substance on Earth?,Diamond
What is the tallest mountain in the world?,Everest
Who was the first man to walk on the moon?,Armstrong
What is the largest mammal?,Blue
What is the fastest land animal?,Cheetah
"Who wrote ""1984""?",Orwell
What is the main ingredient in guacamole?,Avocado
